shape_id,shape_pt_sequence,shape_pt_lat,shape_pt_lon,shape_dist_traveled
0948c435-4a64-4fd9-bc1c-7eb238ab98f7,91,42.082790,-79.237130,4849.294663124379
0948c435-4a64-4fd9-bc1c-7eb238ab98f7,92,42.081880,-79.237130,4950.482186137409
0948c435-4a64-4fd9-bc1c-7eb238ab98f7,93,42.081860,-79.240650,5240.988020093819
0948c435-4a64-4fd9-bc1c-7eb238ab98f7,94,42.081890,-79.243280,5458.061350872949
0948c435-4a64-4fd9-bc1c-7eb238ab98f7,95,42.081860,-79.247300,5789.839240894468
0948c435-4a64-4fd9-bc1c-7eb238ab98f7,96,42.081900,-79.247300,5794.287044103641
0948c435-4a64-4fd9-bc1c-7eb238ab98f7,97,42.087570,-79.247400,6424.817155087187
0948c435-4a64-4fd9-bc1c-7eb238ab98f7,98,42.088470,-79.247450,6524.977745562025
0948c435-4a64-4fd9-bc1c-7eb238ab98f7,99,42.088670,-79.247440,6547.232065865233
0948c435-4a64-4fd9-bc1c-7eb238ab98f7,100,42.088920,-79.247390,6575.335356275012
0948c435-4a64-4fd9-bc1c-7eb238ab98f7,101,42.089460,-79.247170,6638.065018564218
0948c435-4a64-4fd9-bc1c-7eb238ab98f7,102,42.089560,-79.247510,6668.244213447596
0948c435-4a64-4fd9-bc1c-7eb238ab98f7,103,42.089690,-79.248180,6725.389501210249
0948c435-4a64-4fd9-bc1c-7eb238ab98f7,104,42.089780,-79.248780,6775.901241673828
0948c435-4a64-4fd9-bc1c-7eb238ab98f7,105,42.089760,-79.249070,6799.9343949060485
0948c435-4a64-4fd9-bc1c-7eb238ab98f7,106,42.089430,-79.250160,6897.075701636414
0948c435-4a64-4fd9-bc1c-7eb238ab98f7,107,42.089480,-79.250160,6902.635455648276
0948c435-4a64-4fd9-bc1c-7eb238ab98f7,108,42.089470,-79.250160,6903.747406450964
0948c435-4a64-4fd9-bc1c-7eb238ab98f7,109,42.090150,-79.250160,6979.360061010065
0948c435-4a64-4fd9-bc1c-7eb238ab98f7,110,42.090380,-79.251470,7090.441187782808
0948c435-4a64-4fd9-bc1c-7eb238ab98f7,111,42.090930,-79.251470,7151.598481910911
0948c435-4a64-4fd9-bc1c-7eb238ab98f7,112,42.090930,-79.251470,7151.62707168616
0948c435-4a64-4fd9-bc1c-7eb238ab98f7,113,42.092260,-79.251480,7299.490240568195
0948c435-4a64-4fd9-bc1c-7eb238ab98f7,114,42.092490,-79.252750,7407.358661430867
0948c435-4a64-4fd9-bc1c-7eb238ab98f7,115,42.092510,-79.252940,7423.193234167581
0948c435-4a64-4fd9-bc1c-7eb238ab98f7,116,42.092420,-79.255530,7637.138334286933
0948c435-4a64-4fd9-bc1c-7eb238ab98f7,117,42.092390,-79.255530,7640.474186693417
0948c435-4a64-4fd9-bc1c-7eb238ab98f7,118,42.093970,-79.255810,7817.6750060489385
0948c435-4a64-4fd9-bc1c-7eb238ab98f7,119,42.094090,-79.255080,7879.368907732553
0948c435-4a64-4fd9-bc1c-7eb238ab98f7,120,42.094210,-79.254190,7954.006720503356
0948c435-4a64-4fd9-bc1c-7eb238ab98f7,121,42.094280,-79.253950,7975.2842927268475
0948c435-4a64-4fd9-bc1c-7eb238ab98f7,122,42.094740,-79.251170,8210.29920425465
0948c435-4a64-4fd9-bc1c-7eb238ab98f7,123,42.094930,-79.249740,8330.16618072201
0948c435-4a64-4fd9-bc1c-7eb238ab98f7,124,42.095450,-79.246630,8593.207094588382
0948c435-4a64-4fd9-bc1c-7eb238ab98f7,125,42.095540,-79.246040,8642.905956593218
0948c435-4a64-4fd9-bc1c-7eb238ab98f7,126,42.094780,-79.245850,8728.856020660041
0948c435-4a64-4fd9-bc1c-7eb238ab98f7,127,42.094720,-79.245540,8755.29018447738
0948c435-4a64-4fd9-bc1c-7eb238ab98f7,128,42.094720,-79.245320,8773.442589667284
0948c435-4a64-4fd9-bc1c-7eb238ab98f7,129,42.094830,-79.244780,8819.646850203662
0948c435-4a64-4fd9-bc1c-7eb238ab98f7,130,42.094980,-79.244000,8886.131387344032
0948c435-4a64-4fd9-bc1c-7eb238ab98f7,131,42.095090,-79.243610,8920.556716886282
0948c435-4a64-4fd9-bc1c-7eb238ab98f7,132,42.095120,-79.243440,8934.974701609415
0948c435-4a64-4fd9-bc1c-7eb238ab98f7,133,42.095960,-79.243680,9030.454627328316
0948c435-4a64-4fd9-bc1c-7eb238ab98f7,134,42.096260,-79.241910,9180.257192802934
0948c435-4a64-4fd9-bc1c-7eb238ab98f7,135,42.096340,-79.241290,9232.180380138712
0948c435-4a64-4fd9-bc1c-7eb238ab98f7,136,42.096640,-79.239570,9377.963142900237
0948c435-4a64-4fd9-bc1c-7eb238ab98f7,137,42.096850,-79.237980,9511.213320809407
1d0dc5fa-ce2f-479f-844c-a1391dad4144,0,42.096850,-79.237980,0
1d0dc5fa-ce2f-479f-844c-a1391dad4144,1,42.096850,-79.237990,0.8250816156827634
